2018-03-04 10:49:26,399 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/pagehelper-5.1.2.jar] from /WEB-INF/lib
2018-03-04 10:49:26,399 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-webmvc-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-03-04 10:49:26,399 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/jsqlparser-1.1.jar] from /WEB-INF/lib
2018-03-04 10:49:26,399 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-test-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-03-04 10:49:26,400 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/xercesImpl-2.11.0.jar] from /WEB-INF/lib
2018-03-04 10:49:26,400 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/aopalliance-1.0.jar] from /WEB-INF/lib
2018-03-04 10:49:26,400 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-security-core-4.0.3.RELEASE.jar] from /WEB-INF/lib
2018-03-04 10:49:26,400 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-context-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-03-04 10:49:26,400 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-webmvc-portlet-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-03-04 10:49:26,401 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/jackson-mapper-asl-1.9.13.jar] from /WEB-INF/lib
2018-03-04 10:49:26,401 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-instrument-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-03-04 10:49:26,401 |ocalhost-startStop-1 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/druid-1.0.17.jar] from /WEB-INF/lib
